"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"4",2021-04-01,2021-04-01,"SP-00026322892 SECURITAS DIREC",-51.08,6601.65,"INSTALAÇÕES","SECURITAS - ALARME"
"4",2021-04-02,2021-04-02,"COMISSÃO MANUTENÇÃO DE CONTA",-5,6596.65,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2021-04-02,2021-04-02,"I.SELO OP.BANC.",-0.2,6596.45,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2021-04-07,2021-04-07,"SP-00531446107 VODAFONE PORTUG",-78.11,6518.34,"INSTALAÇÕES","COMUNICAÇÕES"
"4",2021-04-09,2021-04-09,"SP-10367661    MAFEP MATERIAL",-29.52,6488.82,"INSTALAÇÕES","ALUGUER EXTINTORES"
"4",2021-04-12,2021-04-12,"SEG. VOLUNTARIADO PERM 8191827",-19.77,6469.05,"INSTALAÇÕES","DESP. BANCÁRIAS"
"4",2021-04-13,2021-04-13,"COMPRA   SECURITAS DIRECT",-36.9,6432.15,"INSTALAÇÕES","SECURITAS - ALARME"
"4",2021-04-19,2021-04-19,"SP-50076845118 ENDESA ENERGIA",-187.07,6245.08,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2021-04-19,2021-04-19,"SP-50076845506 ENDESA ENERGIA",-11,6234.08,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"4",2021-04-26,2021-04-26,"COMPRA   LEROY MERLIN SINTRA",-35.6,6198.48,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"4",2021-04-26,2021-04-26,"COMPRA   LEROY MERLIN SINTRA",-8.97,6189.51,"INSTALAÇÕES","JARDIM"
"4",2021-04-27,2021-04-27,"TRF. PT50007900007767402810116",-246,5943.51,"INSTALAÇÕES","RENDA"
"4",2021-04-28,2021-04-28,"SP-96611566046 Servicos Munici",-14.44,5929.07,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
