"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"6",2021-06-01,2021-06-01,"SP-00026322892 SECURITAS DIREC",-51.08,11666.47,"INSTALAÇÕES","SECURITAS - ALARME"
"6",2021-06-04,2021-06-04,"SP-00531446107 VODAFONE PORTUG",-53.71,11612.76,"INSTALAÇÕES","COMUNICAÇÕES"
"6",2021-06-10,2021-06-10,"SP-10367661    MAFEP MATERIAL",-29.52,11583.24,"INSTALAÇÕES","ALUGUER EXTINTORES"
"6",2021-06-11,2021-06-11,"TRF. PT50007900007767402810116",-246,11337.24,"INSTALAÇÕES","RENDA"
"6",2021-06-13,2021-06-13,"SOLUÇÃO ESOCIAL",-4,11333.24,"INSTALAÇÕES","DESP. BANCÁRIAS"
"6",2021-06-13,2021-06-13,"I.S. COM. MAN. CTA PACOTE",-0.16,11333.08,"INSTALAÇÕES","DESP. BANCÁRIAS"
"6",2021-06-14,2021-06-14,"COMPRA   LEROY MERLIN SINTRA",-46.15,11286.93,"INSTALAÇÕES","JARDIM"
"6",2021-06-17,2021-06-17,"COMPRA   AUCHAN SINTRA",-49.99,11236.94,"ATIVIDADES DIVERSAS","COMPRAS"
"6",2021-06-18,2021-06-18,"SP-50076845506 ENDESA ENERGIA",-11.03,11225.91,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"6",2021-06-19,2021-06-19,"COMPRA   LIDL AGRADECE",-19.53,11206.38,"ATIVIDADES DIVERSAS","ENCARGOS COM COLABORADORES"
"6",2021-06-22,2021-06-22,"TR-ENDESA ENERGIA S.A. - SUCUR",242.2,11448.58,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"6",2021-06-27,2021-06-27,"COMPRA   LEROY MERLIN SINTRA",-23.27,11425.31,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
"6",2021-06-29,2021-06-29,"COMPRA   LEROY MERLIN SINTRA",-80.32,11344.99,"INSTALAÇÕES","MANUTENÇÃO / OBRAS"
