"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"1",2021-01-01,2021-01-01,"EMISSÃO EXTR. CONTA-2020-12-31",-1,7818.75,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-01,2021-01-01,"I.SELO OP.BANC.    -2020-12-31",-0.04,7818.71,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-04,2021-01-04,"SP-00026322892 SECURITAS DIREC",-51.08,7767.63,"INSTALAÇÕES","SECURITAS - ALARME"
"1",2021-01-05,2021-01-05,"COMISSÃO MANUTENÇÃO DE CONTA",-5,7762.63,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-05,2021-01-05,"I.SELO OP.BANC.",-0.2,7762.43,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-06,2021-01-06,"SP-00531446107 VODAFONE PORTUG",-47.22,7715.21,"INSTALAÇÕES","COMUNICAÇÕES"
"1",2021-01-07,2021-01-07,"SP-10367661    MAFEP MATERIAL",-29.52,7685.69,"INSTALAÇÕES","ALUGUER EXTINTORES"
"1",2021-01-08,2021-01-08,"PAG.ESP.  PAG-ESTADO",-51,7634.69,"INSTALAÇÕES","RENDA"
"1",2021-01-13,2021-01-13,"SP-P05100001520EDP SERVICO UNI",-13.88,7620.81,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"1",2021-01-13,2021-01-13,"SP-P05100001520EDP SERVICO UNI",-200.08,7420.73,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"1",2021-01-14,2021-01-14,"COMPRA   CARTORIO CLAUDIA V",-23.26,7397.47,"INSTALAÇÕES","CERTIDÕES E DECLARAÇÕES"
"1",2021-01-19,2021-01-19,"TRF.IPS P/ FILIPE ESPINHA ADV",-61.5,7335.97,"INSTALAÇÕES","RENDA"
"1",2021-01-19,2021-01-19,"DESP.TRF.P/FILIPE ESPINHA ADVO",-1.5,7334.47,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-19,2021-01-19,"IMP.TRF.P/ FILIPE ESPINHA ADVO",-0.06,7334.41,"INSTALAÇÕES","DESP. BANCÁRIAS"
"1",2021-01-21,2021-01-21,"PAG.SERV. 20237 010395920",-79.38,7255.03,"INSTALAÇÕES","RENDA"
"1",2021-01-28,2021-01-28,"SP-96611566046 Servicos Munici",-19.65,7235.38,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
