"Mês","DATA.MOV.","DATA.VALOR","DESCRIÇÃO","IMPORTÂNCIA","SALDO.CONTABILÍSTICO","CENTRO.DE.CUSTO","RUBRICA"
"12",2022-12-01,2022-12-01,"SP-00026322892 SECURITAS DIREC",-56,8997.67,"INSTALAÇÕES","SECURITAS - ALARME"
"12",2022-12-07,2022-12-07,"SP-00531446107 VODAFONE PORTUG",-53.71,8943.96,"INSTALAÇÕES","COMUNICAÇÕES"
"12",2022-12-08,2022-12-08,"TR-IPS-BDLS HSP, UNIPESSOAL LD",750,9693.96,"INSTALAÇÕES","RENDA"
"12",2022-12-09,2022-12-09,"SP-10367661    MAFEP MATERIAL",-29.52,9664.44,"INSTALAÇÕES","ALUGUER EXTINTORES"
"12",2022-12-13,2022-12-13,"SOLUÇÃO ESOCIAL",-4,9660.44,"INSTALAÇÕES","DESP. BANCÁRIAS"
"12",2022-12-13,2022-12-13,"I.S. COM. MAN. CTA PACOTE",-0.16,9660.28,"INSTALAÇÕES","DESP. BANCÁRIAS"
"12",2022-12-15,2022-12-15,"COMPRA   LEROY MERLIN SINTRA",-42.11,9618.17,"INSTALAÇÕES","MANUTENÇÃO / EQUIPAMENTOS"
"12",2022-12-20,2022-12-20,"SP-50076845506 ENDESA ENERGIA",-10.66,9607.51,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"12",2022-12-20,2022-12-20,"SP-50076845118 ENDESA ENERGIA",-57.47,9550.04,"INSTALAÇÕES","CONSUMO ELECTRICIDADE"
"12",2022-12-29,2022-12-29,"SP-96611566046 Servicos Munici",-16.78,9533.26,"INSTALAÇÕES","CONSUMO ÁGUA (SMAS)"
